Date,Price
21-10-2024,1.76
18-10-2024,1.82
17-10-2024,2.19
16-10-2024,2.21
15-10-2024,2.37
11-10-2024,2.31
10-10-2024,2.26
09-10-2024,2.43
08-10-2024,2.51
07-10-2024,2.51
04-10-2024,2.49
03-10-2024,2.75
02-10-2024,2.77
01-10-2024,2.67
30-09-2024,2.65
27-09-2024,2.53
26-09-2024,2.64
25-09-2024,2.62
24-09-2024,2.61
23-09-2024,2.4
20-09-2024,2.2
19-09-2024,2.24
18-09-2024,2.31
17-09-2024,2.33
16-09-2024,2.23
13-09-2024,2.25
12-09-2024,2.13
11-09-2024,2.13
10-09-2024,2.13
09-09-2024,2.03
06-09-2024,2.09
05-09-2024,2.02
04-09-2024,2.05
03-09-2024,1.93
30-08-2024,1.93
29-08-2024,1.85
28-08-2024,1.89
27-08-2024,1.91
26-08-2024,2.13
23-08-2024,1.82
22-08-2024,1.93
21-08-2024,2.14
20-08-2024,2.18
19-08-2024,2.12
16-08-2024,2.01
15-08-2024,2.19
14-08-2024,2.18
13-08-2024,2.16
12-08-2024,2.1
09-08-2024,1.94
08-08-2024,1.85
07-08-2024,1.96
06-08-2024,1.83
05-08-2024,1.83
02-08-2024,1.89
01-08-2024,1.95
31-07-2024,1.94
30-07-2024,1.81
29-07-2024,1.9
26-07-2024,1.98
25-07-2024,2
24-07-2024,2
23-07-2024,2.13
22-07-2024,2.19
19-07-2024,1.88
18-07-2024,2
17-07-2024,1.98
16-07-2024,2.1
15-07-2024,2.12
12-07-2024,2.17
11-07-2024,2.23
10-07-2024,2.4
09-07-2024,2.42
08-07-2024,2.1
05-07-2024,2.02
03-07-2024,2.02
02-07-2024,2.06
01-07-2024,2.21
28-06-2024,2.42
27-06-2024,2.55
26-06-2024,2.45
25-06-2024,2.61
24-06-2024,2.58
21-06-2024,2.44
20-06-2024,2.39
18-06-2024,2.43
17-06-2024,2.5
16-06-2024,2.43
14-06-2024,2.74
13-06-2024,2.79
12-06-2024,2.8
11-06-2024,2.71
10-06-2024,2.61
07-06-2024,2.46
06-06-2024,2.3
05-06-2024,2.27
04-06-2024,2.58
03-06-2024,2.55
31-05-2024,1.78
30-05-2024,1.87
29-05-2024,2.2
28-05-2024,2.29
24-05-2024,2.22
23-05-2024,2.64
22-05-2024,2.51
21-05-2024,2.52
20-05-2024,2.52
17-05-2024,2.44
16-05-2024,2.32
15-05-2024,2.12
14-05-2024,2.14
13-05-2024,2.11
10-05-2024,2.14
09-05-2024,2.03
08-05-2024,2.01
07-05-2024,1.95
06-05-2024,1.88
03-05-2024,1.67
02-05-2024,1.66
01-05-2024,1.63
30-04-2024,1.68
29-04-2024,1.55
26-04-2024,1.4
25-04-2024,1.46
24-04-2024,1.6
23-04-2024,1.59
22-04-2024,1.64
19-04-2024,1.43
18-04-2024,1.59
17-04-2024,1.5
16-04-2024,1.38
15-04-2024,1.41
12-04-2024,1.36
11-04-2024,1.62
10-04-2024,1.9
09-04-2024,1.83
08-04-2024,1.73
05-04-2024,1.58
04-04-2024,1.78
03-04-2024,1.86
02-04-2024,1.65
01-04-2024,1.64
28-03-2024,1.54
27-03-2024,1.43
26-03-2024,1.48
25-03-2024,1.46
22-03-2024,1.5
21-03-2024,1.55
20-03-2024,1.58
19-03-2024,1.55
18-03-2024,1.54
15-03-2024,1.38
14-03-2024,1.26
13-03-2024,1.25
12-03-2024,1.57
11-03-2024,1.54
08-03-2024,1.54
07-03-2024,1.56
06-03-2024,1.67
05-03-2024,1.51
04-03-2024,1.48
01-03-2024,1.47
29-02-2024,1.67
28-02-2024,1.61
27-02-2024,1.52
26-02-2024,1.65
23-02-2024,1.52
22-02-2024,1.62
21-02-2024,1.58
20-02-2024,1.5
19-02-2024,1.55
16-02-2024,1.55
15-02-2024,1.53
14-02-2024,1.51
13-02-2024,1.61
12-02-2024,1.76
09-02-2024,1.74
08-02-2024,1.74
07-02-2024,1.94
06-02-2024,2.1
05-02-2024,2.12
02-02-2024,2.01
01-02-2024,2.15
31-01-2024,2.19
30-01-2024,2.26
29-01-2024,2.41
26-01-2024,2.36
25-01-2024,2.56
24-01-2024,2.45
23-01-2024,2.15
22-01-2024,2.35
19-01-2024,2.7
18-01-2024,2.88
17-01-2024,2.86
16-01-2024,3.25
15-01-2024,13.2
12-01-2024,13.2
11-01-2024,3.15
10-01-2024,3.25
09-01-2024,3.25
08-01-2024,2.72
05-01-2024,2.75
04-01-2024,2.83
03-01-2024,2.57
